player,2020,2021,2022,2023
Tony Bradley,1416852,1783557,1933909,2036318
Frank Ntilikina,1416852,1780152,1926834,2036318
Garrison Mathews,1416852,1762796,1925406,2000000
Kenrich Williams,1416852,1762796,1910860,2000000
Jaylin Williams,1416852,1762796,1910860,2000000
Jeremiah Robinson-Earl,1416852,1762796,1901625,2000000
Caleb Houstan,1416852,1752950,1869438,2000000
Shake Milton,1416852,1752950,1865546,1997718
Aaron Holiday,1416852,1737145,1859365,1968175
Yuta Watanabe,1416852,1737145,1846738,1968175
Edmond Sumner,1416852,1737145,1802057,1968175
Theo Pinson,1416852,1737145,1802057,1968175
Thomas Bryant,1416852,1723707,1789256,1968175
Troy Brown,1416852,1717981,1789256,1968175
Josh Okogie,1416852,1701593,1789256,1968175
Drew Eubanks,1416852,1701593,1789256,1968175
Dean Wade,1416852,1701593,1789256,1930681
Terance Mann,1400000,1686315,1786878,1930681
Jaylen Nowell,1400000,1678854,1782621,1930681
Naz Reid,1290960,1678854,1782621,1930681
Jalen McDaniels,1254933,1678854,1782621,1930681
Daniel Gafford,1228026,1678854,1782621,1930681
Chimezie Metu,1173310,1663861,1782621,1910860
Davon Reed,1052909,1663861,1782621,1902133
KZ Okpala,1000000,1663861,1782621,1902133
Killian Tillie,1000000,1663861,1782621,1901625
Vernon Carey,903111,1663861,1782621,1882621
Wenyen Gabriel,898310,1663861,1782621,1878720
Thanasis Antetokounmpo,898310,1663861,1782621,1878720
Moritz Wagner,898310,1663861,1782621,1878720
Keita Bates-Diop,898310,1663861,1782621,1878720
Oshae Brissett,898310,1663861,1782621,1846738
Nathan Knight,898310,1663861,1782621,1836090
Justin Jackson,898310,1620564,1762796,1836090
Isaiah Joe,898310,1620564,1762796,1836090
Ryan Arcidiacono,898310,1620564,1739065,1836090
Anthony Gill,898310,1620564,1729217,1836090
Javonte Green,898310,1620564,1729217,1815677
Gabe Vincent,898310,1517981,1729217,1815677
Max Strus,898310,1517981,1729217,1815677
Herb Jones,898310,1517981,1729217,1785000
Nick Richards,898310,1517981,1729217,1782621
Lamar Stevens,898310,1517981,1701593,1782621
Tyrell Terry,898310,1517981,1701593,1782621
KJ Martin,898310,1517981,1700000,1782621
Xavier Tillman,898310,1517981,1690507,1782621
Naji Marshall,842327,1517981,1669178,1782621
Paul Reed,840427,1517981,1669178,1782621
Tre Jones,837583,1517981,1669178,1782621
Haywood Highsmith,746054,1517981,1669178,1752638
Omer Yurtseven,718765,1517981,1669178,1752638
Leandro Bolmaro,604278,1517981,1619015,1709300
Terry Taylor,595122,1517981,1614825,1703902
Jared Butler,578573,1517981,1603559,1674655
Jericho Sims,563346,1517981,1603559,1639842
Sam Hauser,522738,1517981,1569178,1637966
Kessler Edwards,512721,1517981,1518213,1637966
Isaiah Todd,483115,1517981,1517981,1575000
Vit Krejci,482144,1517981,1517981,1563518
JT Thor,466918,1517981,1517981,1563518
Marko Simonovic,458439,1517981,1517981,1563518
Ayo Dosunmu,434704,1517981,1517981,1563518
Isaiah Livers,381360,1517981,1517981,1563518
Daishen Nix,375385,1517981,1517981,1563518
Jason Preston,375000,1517981,1517981,1563518
BJ Boston,350189,1517981,1517981,1563518
Austin Reaves,350189,1517981,1517981,1563518
Jose Alvarado,350189,1500000,1517981,1563518
Miles McBride,289803,1487284,1517981,1563518
Aaron Wiggins,250000,1456667,1517981,1563518
Jock Landale,245686,1445697,1517981,1563518
Greg Brown,229220,1445697,1517981,1563518
Trendon Watford,197933,1445697,1517981,1563518
Dalano Banton,196288,1445697,1500000,1563518
Kenneth Lofton,196288,1445697,1489065,1505966
Christian Koloko,189700,1350000,1489065,1500000
Bryce McGowens,187782,1300000,1456667,1461055
Eric Bledsoe,183115,1289846,1368998,1300000
Jordan Goodwin,183115,1255493,1346676,1280206
Kennedy Chandler,183115,1250000,1305761,1200000
Noah Vonleh,183115,1235889,1292900,1160955
Sandro Mamukelashvili,163356,1194542,1250000,1116112
Sam Merrill,163356,1165322,1242340,1105522
Zhaire Smith,161245,1068200,1168286,1068200
Tyrese Martin,155647,1061283,1090007,1017781
Jaden Hardy,129568,1039080,1068200,1017781
Ryan Rollins,106181,1014905,1062303,1017781
Max Christie,101504,1000000,1057260,1017781
Josh Minott,91557,1000000,1005633,1017781
Jabari Walker,91557,1000000,1003740,1017781
Eugene Omoruyi,89846,999200,999200,1013119
Kris Dunn,81678,943963,993760,1000001
Kyle Singler,79568,915048,946261,999200
Ishmail Wainright,79568,910895,925258,980057
Admiral Schofield,79568,898310,925258,877940
Justin Champagnie,79568,898310,925258,853241
Trevelin Queen,79568,898310,925258,838891
Moses Brown,79568,898310,925258,824041
Matt Ryan,79568,898310,925258,806097
DaQuan Jeffries,79568,898310,925258,799403
PJ Dozier,79568,898310,925258,784654
Cody Zeller,79568,898310,925258,743922
Meyers Leonard,79568,898310,925258,713558
Nik Stauskas,79568,898310,925258,702311
Anthony Lamb,79568,803044,925258,694878
Michael Carter-Williams,79568,802182,923078,652829
DJ Augustin,79568,737996,910926,633938
Duane Washington Jr,79568,712278,895125,628802
Carlik Jones,79568,699115,869078,612162
Juwan Morgan,79568,693755,844011,576230
Malik Fitts,79568,693141,814918,555217
Luka Samanic,79568,688052,812364,538317
David Duke,79568,685340,812363,531283
Trevor Keels,79568,666666,811213,520589
Dereon Seabron,79568,660750,774727,511816
Trent Forrest,79568,653924,768830,508891
Mfiondu Kabengele,79568,647098,737067,508891
JD Davison,79568,621587,726128,508891
Malcolm Hill,79568,614838,723741,508891
Mamadi Diakite,79568,609128,707893,508891
Isaiah Mobley,79568,597463,666666,508891
McKinley Wright,79568,592368,630874,508891
Jack White,79568,578842,619498,508891
Collin Gillespie,79568,538391,612805,508891
Buddy Boeheim,79568,537888,573576,508891
Darius Days,79568,535294,563663,508891
Trevor Hudgins,79568,532218,558345,508891
Kendall Brown,79568,529341,547701,508891
Moussa Diabate,79568,522989,534993,508891
Scottie Pippen Jr,79568,520487,532398,508891
Cole Swider,79568,516836,522015,508891
Vince Williams Jr,79568,510586,510907,508891
Jamal Cain,79568,503760,499852,508891
AJ Green,79568,502957,491876,508891
Luka Garza,79568,489148,479650,508891
EJ Liddell,79568,470690,463211,508891
Kevon Harris,79568,470690,463211,508891
Keon Ellis,79568,459414,462629,508891
Neemias Queta,79568,449115,462629,508891
Julian Champagnie,79568,449115,462629,508891
Dominick Barlow,79568,449115,462629,508891
Jeff Dowtin,79568,449115,462629,508891
Ron Harper Jr,65978,449115,462629,508891
