Player,Salary,Salary (adjusted)
Chris Silva,1517981,1796567
Matt Thomas,1517981,1796567
Miye Oni,1517981,1796567
Juwan Morgan,1517981,1796567
Daniel Gafford,1517981,1796567
Robert Woodard,1500000,1775286
Damian Jones,1487284,1760235
JR Smith,1456667,1724000
Jae'Sean Tate,1445697,1711017
DaQuan Jeffries,1445697,1711017
Kelan Martin,1445697,1711017
Zylan Cheatham,1445697,1711017
Paul Watson,1445697,1711017
Vernon Carey,1350000,1597757
Xavier Tillman,1300000,1538581
Tyrell Terry,1289846,1526564
Oshae Brissett,1255493,1485906
Moses Brown,1250000,1479405
Sindarius Thornwell,1235889,1462703
Ersan Ilyasova,1194542,1413769
Glenn Robinson III,1165322,1379186
Zhaire Smith,1068200,1264240
Khyri Thomas,1061283,1256053
Guerschon Yabusele,1039080,1229776
Norvel Pelle,1014905,1201163
Nick Richards,1000000,1183524
Lamar Stevens,1000000,1183524
Jahmi'us Ramsey,1000000,1183524
Kyle Singler,999200,1182577
Juan Toscano-Anderson,943963,1117203
Shaquille Harrison,915048,1082980
Chimezie Metu,910895,1078066
Deividas Sirvydis,898310,1063171
KJ Martin,898310,1063171
Daniel Oturu,898310,1063171
Jordan Nwora,898310,1063171
Sam Merrill,898310,1063171
Isaiah Joe,898310,1063171
CJ Elleby,898310,1063171
Tre Jones,898310,1063171
Elijah Hughes,898310,1063171
Anthony Gill,898310,1063171
Iman Shumpert,803044,950422
Theo Pinson,802182,949401
Yuta Watanabe,737996,873436
Tremont Waters,712278,842998
Frank Jackson,699115,827419
Rayjon Tucker,693755,821075
Tyler Cook,693141,820348
Garrison Mathews,688052,814326
Cole Aldrich,685340,811116
Shaun Livingston,666666,789015
Gabe Vincent,660750,782013
Tacko Fall,653924,773934
Max Strus,647098,765856
Alize Johnson,621587,735663
Anthony Tolliver,614838,727675
Paul Reed,609128,720917
Tim Frazier,597463,707111
Jordan Bell,592368,701081
Amir Coffey,578842,685073
Naji Marshall,538391,637198
Kyle Guy,537888,636603
Markus Howard,535294,633533
Skylar Mays,532218,629892
Mamadi Diakite,529341,626487
Nathan Knight,522989,618970
Jared Harper,520487,616008
Saben Lee,516836,611687
Jarrell Brantley,510586,604290
Jordan McLaughlin,503760,596212
Rondae Hollis-Jefferson,502957,595261
Reggie Perry,489148,578918
Cassius Stanley,470690,557073
Trent Forrest,470690,557073
Dakari Johnson,459414,543727
Chris Chiozza,449115,531538
Grant Riller,449115,531538
Nate Darling,449115,531538
Devon Dotson,449115,531538
Adam Mokoka,449115,531538
Marques Bolden,449115,531538
Tyler Bey,449115,531538
Nate Hinton,449115,531538
Nico Mannion,449115,531538
Jay Scrubb,449115,531538
Devontae Cacok,449115,531538
Kostas Antetokounmpo,449115,531538
Killian Tillie,449115,531538
Sean McDermott,449115,531538
Jaylen Adams,449115,531538
Josh Hall,449115,531538
Ty-Shon Alexander,449115,531538
Keljin Blevins,449115,531538
Keita Bates-Diop,449115,531538
Quinndary Weatherspoon,449115,531538
Jalen Harris,449115,531538
Cassius Winston,449115,531538
Yogi Ferrell,444149,525661
Noah Vonleh,427725,506222
Mason Jones,424544,502457
Brodric Thomas,412202,487850
Andre Roberson,411639,487184
Donta Hall,376276,445331
Brian Bowen,375321,444201
Anzejs Pasecniks,374297,442989
Freddie Gillespie,363015,429637
AJ Hammons,350087,414336
Karim Mane,344557,407791
Will Magnay,341481,404151
Greg Whittington,332252,393228
Raymond Spalding,289156,342223
Chasson Randle,279927,331300
Justin Patton,267623,316738
Gary Payton II,249864,295720
Mike James,237648,281262
Charlie Brown,217844,257823
Anthony Lamb,215330,254848
Justin Robinson,198040,234385
Axel Toupane,196872,233002
Henry Ellenson,168983,199995
Ashton Hagans,166111,196596
Isaiah Thomas,159698,189006
John Henson,158907,188070
Armoni Brooks,135362,160204
Jordan Bone,135350,160190
Jaylen Hoard,129209,152921
Justin Anderson,125000,147940
Amida Brimah,123056,145639
Didi Louzada,123056,145639
Troy Williams,122741,145266
James Nunnally,107674,127434
Demetrius Jackson,92857,109898
Dakota Mathias,86132,101939
Malik Fitts,61528,72819
Jeremiah Martin,58452,69179
Jerian Grant,50000,59176
Louis King,49222,58255
Cameron Oliver,43070,50974
Cam Reynolds,33299,39410
Tyler Hall,25000,29588
Andrew White,25000,29588
Elijah Bryant,24611,29127
Caleb Homesley,20000,23670
